Au (Gold) - Palik

wavelength (microns), Re(index)
0.555708, 0.394875
0.555463, 0.395755
0.555218, 0.396637
0.554973, 0.397522
0.554729, 0.39841
0.554484, 0.3993
0.55424, 0.400194
0.553996, 0.401089
0.553752, 0.401988
0.553509, 0.402889
0.553266, 0.403794
0.553022, 0.404701
0.552779, 0.40561
0.552537, 0.406523
0.552294, 0.407439
0.552052, 0.408357
0.55181, 0.409278
0.551568, 0.410202
0.551327, 0.411129
0.551085, 0.412059
0.550844, 0.412992
0.550603, 0.413928
0.550362, 0.414867
0.550122, 0.415809
0.549881, 0.416754
0.549641, 0.417702
0.549401, 0.418652
0.549161, 0.419606
0.548922, 0.420563
0.548683, 0.421523
0.548443, 0.422487
0.548205, 0.423453
0.547966, 0.424422
0.547727, 0.425395
0.547489, 0.426371
0.547251, 0.42735
0.547013, 0.428332
0.546776, 0.429317
0.546538, 0.430306
0.546301, 0.431297
0.546064, 0.432292
0.545827, 0.433291
0.54559, 0.434292
0.545354, 0.435297
0.545118, 0.436305
0.544882, 0.437317
0.544646, 0.438332
0.54441, 0.43935
0.544175, 0.440372
0.54394, 0.441397
0.543705, 0.442425
0.54347, 0.443457
0.543235, 0.444493
0.543001, 0.445531
0.542767, 0.446574
0.542533, 0.44762
0.542299, 0.448669
0.542065, 0.449722
0.541832, 0.450778
0.541599, 0.451838
0.541366, 0.452902
0.541133, 0.453969
0.540901, 0.45504
0.540668, 0.456114
0.540436, 0.457192
0.540204, 0.458274
0.539972, 0.459359
0.539741, 0.460448
0.539509, 0.461541
0.539278, 0.462637
0.5391, 0.463486
0.539047, 0.463738
0.538816, 0.464842
0.538586, 0.465949
0.538355, 0.467061
0.538125, 0.468176
0.537895, 0.469296
0.537665, 0.470419
0.537436, 0.471545
0.537206, 0.472676
0.536977, 0.473811
0.536748, 0.474949
0.536519, 0.476092
0.536291, 0.477238
0.536062, 0.478389
0.535834, 0.479543
0.535606, 0.480701
0.535378, 0.481864
0.535151, 0.48303
0.534923, 0.484201
0.534696, 0.485375
0.534469, 0.486554
0.534242, 0.487736
0.534015, 0.488923
0.533789, 0.490114
0.533562, 0.491309
0.533336, 0.492508
0.53311, 0.493711
0.532885, 0.494918
0.532659, 0.49613
0.532434, 0.497346
0.532209, 0.498566
0.531984, 0.49979
0.531759, 0.501019
0.531534, 0.502252
0.53131, 0.503489
0.531086, 0.50473
0.530862, 0.505976
0.530638, 0.507226
0.530414, 0.508481
0.530191, 0.50974
0.529967, 0.511003
0.529744, 0.512271
0.529521, 0.513543
0.529299, 0.514819
0.529076, 0.5161
0.528854, 0.517385
0.528632, 0.518675
0.52841, 0.51997
0.528188, 0.521268
0.527966, 0.522572
0.527745, 0.52388
0.527524, 0.525192
0.527303, 0.526509
0.527082, 0.527831
0.526861, 0.529157
0.526641, 0.530488
0.526421, 0.531823
0.5262, 0.533163
0.525981, 0.534508
0.525761, 0.535858
0.525541, 0.537212
0.525322, 0.53857
0.525103, 0.539934
0.524884, 0.541302
0.524665, 0.542675
