Au (Gold) - Palik

wavelength (microns), Im(index)
0.491089, 1.96513
0.490898, 1.96417
0.490706, 1.96323
0.490515, 1.96229
0.490324, 1.96136
0.490133, 1.96045
0.489942, 1.95954
0.489752, 1.95865
0.489561, 1.95777
0.489371, 1.95689
0.48918, 1.95603
0.48899, 1.95518
0.4888, 1.95434
0.488611, 1.95351
0.488421, 1.95269
0.488232, 1.95188
0.488042, 1.95108
0.487853, 1.95029
0.487664, 1.94952
0.487475, 1.94875
0.487286, 1.948
0.487098, 1.94725
0.486909, 1.94652
0.486721, 1.9458
0.486533, 1.94509
0.486345, 1.94439
0.486157, 1.94371
0.485969, 1.94303
0.485782, 1.94237
0.485594, 1.94172
0.485407, 1.94108
0.48522, 1.94045
0.485033, 1.93983
0.484846, 1.93922
0.484659, 1.93863
0.484473, 1.93805
0.484286, 1.93747
0.4841, 1.93691
0.483914, 1.93637
0.483728, 1.93583
0.483542, 1.93531
0.483356, 1.9348
0.483171, 1.9343
0.482985, 1.93381
0.4828, 1.93333


Au (Gold) - Palik

wavelength (microns), Im(index)
9.919, 54.7
9.537, 53.1
9.164, 51.6
8.856, 50.2
8.551, 48.8
8.266, 47.6
7.999, 46.4
7.749, 45.2
7.514, 44.1
7.293, 43
7.085, 42
6.888, 41
6.702, 40.1
6.526, 39.1
6.358, 38.3
6.199, 37.5
5.904, 35.9
5.636, 34.3
5.391, 32.9
5.166, 31.7
4.959, 30.5
4.769, 29.3
4.592, 28.2
4.426, 27.2
4.275, 26.3
4.133, 25.4
4, 24.6
3.875, 23.9
3.757, 23.1
3.647, 22.5
3.542, 21.9
3.444, 21.3
3.351, 20.7
3.263, 20.2
3.179, 19.7
3.1, 19.2
2.952, 18.3
2.818, 17.5
2.695, 16.8
2.583, 16.1
2.46, 15.5
2.384, 14.9
2.296, 14.4
2.214, 13.9
2.138, 13.4
2.066, 13
2, 12.6
1.937, 12.2
1.879, 11.9
1.823, 11.5
1.771, 11.2
1.712, 10.9
1.675, 10.6
1.631, 10.3
1.59, 10.1
1.55, 9.81
1.512, 9.58
1.476, 9.36
1.442, 9.15
1.409, 8.96
1.378, 8.77
1.319, 8.42
1.291, 8.25
1.265, 8.09
1.24, 8.77
1.127, 7.93
1.033, 7.07
0.9537, 6.47
0.8856, 5.88
0.8266, 5.39
0.7749, 4.86
0.7293, 4.35
0.6888, 3.8
0.6526, 3.15
0.6199, 3
0.5904, 3
0.5636, 2.88
0.5391, 2.54
0.5166, 2.12
0.4959, 1.84
0.4769, 1.796
0.4592, 1.846
